name,artist_name,playcount,listeners
vampire,Olivia Rodrigo,30852393,1363128
Ghost Town,Kanye West,24432119,1149943
Telepatía,Kali Uchis,20793095,1473886
Rock That Body,Black Eyed Peas,6904479,930709
One Dance,Drake,19186177,1711717
Fluorescent Adolescent,Arctic Monkeys,31285949,2358219
Kill Bill,SZA,41769764,2029442
DENIAL IS A RIVER,Doechii,13630685,1143358
Heart-Shaped Box,Nirvana,22187108,2178634
NISSAN ALTIMA,Doechii,10201101,831890
Beauty and a Beat,Justin Bieber,11995482,1345846
Redbone,Childish Gambino,26019208,1826193
1979 - Remastered 2012,The Smashing Pumpkins,14899786,1216264
LUNCH,Billie Eilish,24862021,1467945
3005,Childish Gambino,19972006,1378576
Everybody Here Wants You,Jeff Buckley,5640591,595772
LVL,A$AP Rocky,11670606,856791
Saturn,SZA,16128921,1085780
Shut up My Moms Calling,Hotel Ugly,21063098,1451104
Sucka Free,"Tyler, The Creator",3231230,573681
You Get Me So High,The Neighbourhood,20462091,1259754
we fell in love in october,girl in red,21081528,1597847
anything,Adrianne Lenker,15660463,747957
Animal I Have Become,Three Days Grace,16170161,1564081
It Almost Worked,TV Girl,10929667,804483
This Love,Maroon 5,17544356,2256726
New Jeans,NewJeans,21013039,868480
Brooklyn Baby,Lana Del Rey,25160441,1551920
Devil in a New Dress,Kanye West,22873807,1316502
Picture You,Chappell Roan,10935438,773386
Pyramids,Frank Ocean,20774120,1367254
Selfless,The Strokes,10522516,816745
R U Mine?,Arctic Monkeys,29448827,2062050
Sarah,Alex G,17436677,989212
Breathe (In the Air),Pink Floyd,10165349,1088590
I Must Apologise,PinkPantheress,13624064,1051401
Super Shy,NewJeans,26737368,1057963
Big Poe (feat. Sk8brd),"Tyler, The Creator",2425961,439659
Headphones On,Addison Rae,7025817,470412
The Only Exception,Paramore,20783128,1715270
Chicago,Michael Jackson,8012676,804923
FaSHioN,CORTIS,680392,70566
ExtraL (feat. Doechii),Jennie,9252011,525311
Enjoy the Silence,Depeche Mode,20124722,1919154
I THINK,"Tyler, The Creator",20034736,1239105
Here All Night,Demi Lovato,369484,60597
I'm Not Okay (I Promise),My Chemical Romance,19984894,1549457
DtMF,Bad Bunny,8245938,680983
Your face,Wisp,9940480,654892
THIS IS FOR,TWICE,5065382,254300
Billyeoon Goyangi (Do the Dance),ILLIT,3309608,230144
Streets,Doja Cat,19809993,1330526
pretty isn’t pretty,Olivia Rodrigo,12204858,660444
Superpowers,Daniel Caesar,7315194,548125
Ordinary,Alex Warren,4694056,498826
Landslide,Fleetwood Mac,12244703,1325547
Cruel Summer,Taylor Swift,46640941,1588753
Sundress,A$AP Rocky,22970215,1274645
One Last Time,Ariana Grande,16088963,1357055
deja vu,Olivia Rodrigo,27830019,1486090
First Love/Late Spring,Mitski,16381190,1092292
Feel It,d4vd,1805939,305364
Don't Dream It's Over,Crowded House,11420234,1299035
Glue Song,beabadoobee,17408927,1083798
ANTIFRAGILE,LE SSERAFIM,22139398,762767
LOVE. FEAT. ZACARI.,Kendrick Lamar,23090534,1570664
Runaway,Kanye West,22995912,1499438
APT.,Rosé,23793221,1217819
Glimpse of Us,Joji,28230025,1342077
All Falls Down,Kanye West,18847257,1448300
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,19239112,960010
Promise,Laufey,11594094,703708
Stressed Out,twenty one pilots,18709575,1728639
Wicked Game,Chris Isaak,14449817,1424141
Disease,Lady Gaga,15176235,715414
Telephones,VACATIONS,16691930,1090848
Somewhere Only We Know,Keane,24026239,2316683
family ties (with Kendrick Lamar),Baby Keem,26393466,1210869
ST. CHROMA (feat. Daniel Caesar),"Tyler, The Creator",12074498,1004261
Get You (feat. Kali Uchis),Daniel Caesar,19734965,1230276
